log,template
Closed socket connection for client /10.10.34.11:49557 which had sessionid 0x14ed93111f20048,Closed socket connection for client /<*>:<*> which had sessionid <*>
Established session 0x14ed93111f2005f with negotiated timeout 10000 for client /10.10.34.36:32876,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Accepted socket connection from /10.10.34.11:49346,Accepted socket connection from /<*>:<*>
Established session 0x14ed93111f20079 with negotiated timeout 20000 for client /10.10.34.11:49800,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Closed socket connection for client /10.10.34.29:39382 which had sessionid 0x14ed93111f2005d,Closed socket connection for client /<*>:<*> which had sessionid <*>
Established session 0x14ed93111f2007c with negotiated timeout 10000 for client /10.10.34.11:50276,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.11:50286,Client attempting to establish new session at /<*>:<*>
Established session 0x14ed93111f20082 with negotiated timeout 10000 for client /10.10.34.11:50301,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.11:50402,Client attempting to establish new session at /<*>:<*>
Closed socket connection for client /10.10.34.11:50940 which had sessionid 0x14ed93111f20099,Closed socket connection for client /<*>:<*> which had sessionid <*>
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Client attempting to establish new session at /10.10.34.11:53821,Client attempting to establish new session at /<*>:<*>
Connection request from old client /10.10.34.20:56418; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Connection request from old client /10.10.34.11:54411; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.12:45682 which had sessionid 0x14ed93111f200cd,Closed socket connection for client /<*>:<*> which had sessionid <*>
Connection request from old client /10.10.34.13:37454; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.12:45697 which had sessionid 0x14ed93111f200d6,Closed socket connection for client /<*>:<*> which had sessionid <*>
Client attempting to establish new session at /10.10.34.11:54632,Client attempting to establish new session at /<*>:<*>
Established session 0x14ed93111f200df with negotiated timeout 10000 for client /10.10.34.13:37467,Established session <*> with negotiated timeout <*> for client /<*>:<*>
caught end of stream exception,caught end of stream exception
Client attempting to establish new session at /10.10.34.11:54738,Client attempting to establish new session at /<*>:<*>
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.11:54983 which had sessionid 0x14ed93111f200f0,Closed socket connection for client /<*>:<*> which had sessionid <*>
Connection request from old client /10.10.34.12:45728; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Processed session termination for sessionid: 0x34ede65503f0010,Processed session termination for sessionid: <*>
caught end of stream exception,caught end of stream exception
Processed session termination for sessionid: 0x14ede63a5a70023,Processed session termination for sessionid: <*>
Connection request from old client /10.10.34.13:38053; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Processed session termination for sessionid: 0x34ede65503f002b,Processed session termination for sessionid: <*>
"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
Processed session termination for sessionid: 0x24ede63a01b003b,Processed session termination for sessionid: <*>
"Expiring session 0x34ede65503f0036, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
Processed session termination for sessionid: 0x34ede65503f0039,Processed session termination for sessionid: <*>
caught end of stream exception,caught end of stream exception
Processed session termination for sessionid: 0x14ede63a5a7003a,Processed session termination for sessionid: <*>
caught end of stream exception,caught end of stream exception
Connection request from old client /10.10.34.11:40489; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Established session 0x14ede63a5a7004b with negotiated timeout 10000 for client /10.10.34.11:40489,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.21:37904,Client attempting to establish new session at /<*>:<*>
Closed socket connection for client /10.10.34.17:51214 which had sessionid 0x14ede63a5a70053,Closed socket connection for client /<*>:<*> which had sessionid <*>
"Expiring session 0x34ede65503f005c, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
"Expiring session 0x24ede63a01b0062, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
Connection request from old client /10.10.34.40:40996; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Established session 0x14edfaa86f60013 with negotiated timeout 10000 for client /10.10.34.27:44600,Established session <*> with negotiated timeout <*> for client /<*>:<*>
caught end of stream exception,caught end of stream exception
caught end of stream exception,caught end of stream exception
Connection request from old client /10.10.34.16:39498; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.13:54485 which had sessionid 0x14edfaa86f60021,Closed socket connection for client /<*>:<*> which had sessionid <*>
Connection request from old client /10.10.34.25:58975; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Connection request from old client /10.10.34.33:39730; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
LOOKING,LOOKING
Established session 0x14ee3e057ed000c with negotiated timeout 10000 for client /10.10.34.37:49834,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Accepted socket connection from /10.10.34.11:40061,Accepted socket connection from /<*>:<*>
Connection request from old client /10.10.34.13:39525; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Connection request from old client /10.10.34.35:48971; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.12:59661 which had sessionid 0x14ee3e057ed0027,Closed socket connection for client /<*>:<*> which had sessionid <*>
Established session 0x14f05578bd80002 with negotiated timeout 10000 for client /10.10.34.12:46262,Established session <*> with negotiated timeout <*> for client /<*>:<*>
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.19:57338 which had sessionid 0x14f05578bd8000d,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
caught end of stream exception,caught end of stream exception
Established session 0x14f05578bd80020 with negotiated timeout 10000 for client /10.10.34.11:38390,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Revalidating client: 0x14f05578bd80018,Revalidating client: <*>
Established session 0x14f05578bd80016 with negotiated timeout 10000 for client /10.10.34.13:38490,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to renew session 0x14f05578bd8001b at /10.10.34.20:56374,Client attempting to renew session <*> at /<*>:<*>
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.12:46331 which had sessionid 0x14f1724a6e80004,Closed socket connection for client /<*>:<*> which had sessionid <*>
Accepted socket connection from /10.10.34.11:54839,Accepted socket connection from /<*>:<*>
Client attempting to establish new session at /10.10.34.12:58349,Client attempting to establish new session at /<*>:<*>
Closed socket connection for client /10.10.34.11:56471 (no session established for client),Closed socket connection for client /<*>:<*> (no session established for client)
Established session 0x14f4a6318b80005 with negotiated timeout 10000 for client /10.10.34.11:56492,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.12:58913,Client attempting to establish new session at /<*>:<*>
Established session 0x14f4a6318b80022 with negotiated timeout 10000 for client /10.10.34.30:43272,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Closed socket connection for client /10.10.34.35:48997 which had sessionid 0x14f4a6318b80024,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.12:58917 which had sessionid 0x14f4a6318b80018,Closed socket connection for client /<*>:<*> which had sessionid <*>
Accepted socket connection from /10.10.34.14:46136,Accepted socket connection from /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Notification time out: 60000,Notification time out: <*>
Notification time out: 60000,Notification time out: <*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Server environment:java.vendor=Oracle Corporation,Server environment:<*>
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
******* GOODBYE /10.10.34.13:57502 ********,******* GOODBYE /<*>:<*> ********
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
******* GOODBYE /10.10.34.11:52844 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57653 ********,******* GOODBYE /<*>:<*> ********
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.12:54788,Received connection request /<*>:<*>
Received connection request /10.10.34.13:42624,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:42634,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.12:54830,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:54857,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:42747,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.11:58282,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.13:42885,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:42926,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:55289,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.11:58652,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.12:55346,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.13:43233,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.11:58764,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.11:58787,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.11:58823,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.11:58865,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.12:55648,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.13:43606,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:43693,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.13:43730,Received connection request /<*>:<*>
Received connection request /10.10.34.11:59250,Received connection request /<*>:<*>
Received connection request /10.10.34.12:55929,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:56057,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.11:59489,Received connection request /<*>:<*>
Received connection request /10.10.34.12:56093,Received connection request /<*>:<*>
